title,img,latestChapter,rating,src,id,titleId,description,authors,genres,lastUpdated,views
I Have A Post-Apocalyptic Dungeon,/mangaimage/manga-pt993328.jpg,Chapter 206,4.4,/manga/manga-pt993328,manga-pt993328,I Have A Post-Apocalyptic Dungeon,"A Female President? Then come help me manage the shelter. A Female Special Forces Soldier? Then come and be the captain of the guards. At the end of the world, titles like CEOs, beautiful women, secretaries, electricians, programmers and all other professions are all no longer useful. Don't be afraid to come to my underground system shelter- as long as you are talented people and human beings!",Action,Adventure|Comedy|Manhua,2023-01-18 23:24,998300.0
Please Love Me Gentle.,/mangaimage/manga-nr990652.jpg,Chapter 143,3.52,/manga/manga-nr990652,manga-nr990652,Please Love Me Gentle.,"Please Love Me Gentle. summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Please Love Me Gentle.. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Updating,Action|Adventure|Shounen ai|Slice of life|Tragedy,2023-01-20 09:48,997600.0
Hiniiru,/mangaimage/manga-ix954780.jpg,Vol.5 Chapter 24,4.43,/manga/manga-ix954780,manga-ix954780,Hiniiru,"From MangaHelpers:Ten years ago, a black shape appeared in the sky and destroyed the city below. Kagerou and Momiji were children when the destruction took place, and they have grown together into teenagers beneath the mysterious structure. There is an undeniable attraction between these two friends, but Kagerou is hesitant to confess his feelings because he feels that he is too weak to protect her.One day, the structure acts again, sending down strange balls that eat people and transform them into monsters. Kagerou and Momiji's encounter that day changes them forever. Kagerou is taken into an organization that explains to him that he is now an 'ember,' and Momiji is a non-human ""dross,"" useful only as experimental material. Kagerou can't accept this, though, and is determined to do anything in his power to protect the girl he loves. [tethysdust]",Katou Yuuichi,Action|Supernatural,2022-12-16 10:04,997400.0
Parsley In The Corner,/mangaimage/manga-xa1001209.jpg,Chapter 1: Parsley Fried Rice,5.0,/manga/manga-xa1001209,manga-xa1001209,Parsley In The Corner,"Parsley, a junior high school student who prefers to live on the sidelines, is offered a position as a magical girl.",Q-Rais,Action|Cooking|School life|Slice of life|Supernatural,2024-03-12 23:05,997.0
Kill Me Next Time,/mangaimage/manga-li989191.jpg,Chapter 69.5,4.38,/manga/manga-li989191,manga-li989191,Kill Me Next Time,"Kill Me Next Time summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Kill Me Next Time. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Updating,Action|Comedy|Fantasy|Martial arts|Romance,2022-09-28 15:29,993400.0
Jojo - Dead Man's Questions,/mangaimage/manga-sg970141.jpg,Vol.1 Chapter 3 : Chapter 3 (Final),4.57,/manga/manga-sg970141,manga-sg970141,Jojo - Dead Man's Questions,Dead man's questions tells the story after Kira Yoshikage's death.,Araki Hirohiko,Action|Drama|One shot|Supernatural,2016-01-29 06:56,993200.0
Yu-Gi-Oh Ocg Stories,/mangaimage/manga-or992026.jpg,Vol.4 Chapter 22: King And Servant,4.74,/manga/manga-or992026,manga-or992026,Yu-Gi-Oh Ocg Stories,"In the distant past, the prosperous nation of Kama waged war against the nation of Spectra, resulting in the creation of an AI that wiped out all humans. Centuries later, Raye, the last surviving human, lives amongst an android society on the outskirts of Kama. On the night of her 13th birthday, her peaceful life is upended when Spectra attacks, destroying her home and forcing her friends to the front lines. Desperate to save everything she loves, Raye calls upon humanity's last bastion: ""Sky Striker"", the Kama-developed secret technology made to turn humans into the ultimate living weapons.…Unexpected, right? In this newest adaptation of Yu-Gi-Oh, the focus of the plot is not on the card game, but instead the many storylines featured in the cards. The first arc surrounds the Sky Striker series, with more to come in the future.",Yoshida Shin,Action|Fantasy|Shounen,2024-03-24 22:20,991200.0
Kidou Senshi Gundam Seed X Astray,/mangaimage/manga-zx959106.jpg,Chapter 6 : -10 Read Online,5.0,/manga/manga-zx959106,manga-zx959106,Kidou Senshi Gundam Seed X Astray,"From TokyoPop:After having finished a job at Research Colony Mendel, a mysterious mobile suit approaches the colony--likely with hostile intent. When Lowe Gear intercepts in the Red Frame, the pilot opens fire... and thus begins another exciting adventure set in the popular Gundam Seed universe! Mobile Suit Gundam SEED X Astray continues where Gundam Seed Astray R left off!",Chiba Tomohiro,Action|Mecha|Sci fi|Shounen,2016-01-20 18:17,99900.0
The Red Eyed Girl,/mangaimage/manga-gw983879.jpg,Chapter 1,4.6,/manga/manga-gw983879,manga-gw983879,The Red Eyed Girl,The Red Eyed Girl Comics Online. This is the story of a girl who gets powers once her eyes turned red when she was only 8 which made people to assume she was an evil demon as some of the old stories they believe in claim and since then they caused her many problems. The girl being fed up with all they did to her gets determined to help people with her powers to prove everyone was wrong all along about her and at one moment she ends up saving a boy’s life who later becomes her crush and she starts developing feelings for him.,Updating,Action|Adventure|Comedy|Fantasy|Romance|School life,2019-12-10 13:38,99900.0
Desupai,/mangaimage/manga-fh959716.jpg,Vol.1 Chapter 8.5 : Nana-Chan Scrambles!,5.0,/manga/manga-fh959716,manga-fh959716,Desupai,"Gambling. Mahjong. Death. These are the themes of this fast-paced, undercover-agent-style manga where outrageous life-or-death gambles are made daily occurences and insurmountable odds are overcome. The most hardcore, action-packed mahjong manga you will ever see.",Shimamoto Kazuhiko,Action|Drama|Psychological|Seinen|Sports,2016-01-20 13:04,99800.0
Akuma No Yuusha,/mangaimage/manga-su995377.jpg,Vol.1 Chapter 11: Bonus Chapter,2.2,/manga/manga-su995377,manga-su995377,Akuma No Yuusha,Great duke of hell's son was summoned from the hell and now he has become a superhero. He has to eradicate crime from city. But who was the summoner?!,Anipenciller,Action|Fantasy|Slice of life|Supernatural|Isekai,2023-07-16 17:32,99800.0
Shixiong,/mangaimage/manga-gu954655.jpg,Chapter 5-V.2,4.25,/manga/manga-gu954655,manga-gu954655,Shixiong,"From The Faiien Scans:Protagonist XiaoFei used to be an ordinary guy from H city. After the spring water was contaminated with a virus, however, he unexpectedly encountered an unprecedented crisis. The people living in H City became zombies one by one, devouring each other, and gradually evolving. Can XiaoFei escape from H city and meet up with his girlfriend Wei? The story now begins...",七度鱼(Qiduyu) [Add],Action|Comedy|Horror,2017-12-20 11:32,99700.0
Oniwaka To Ushiwaka - Edge Of The World,/mangaimage/manga-ou966129.jpg,Chapter 6 : Taira S Leader,5.0,/manga/manga-ou966129,manga-ou966129,Oniwaka To Ushiwaka - Edge Of The World,"Set during the late Heian era eight centuries ago, when the Taira samurai clan held power and just before the rise of the shogunate in Japan. This historical fantasy re-imagines the adventures of the real-life samurai leader Minamoto no Yoshitsune (Ushiwaka) and his loyal warrior monk Musashibou Benkei (Oniwaka).",Aoki Yuuya,Action|Adventure|Fantasy|Historical|Shounen,2016-01-21 11:12,99500.0
The Idolm@ster Cinderella Girls - Wild Wind Girl,/mangaimage/manga-hm984569.jpg,Chapter 4: Bring On The Lessons!,4.7,/manga/manga-hm984569,manga-hm984569,The Idolm@ster Cinderella Girls - Wild Wind Girl,"Mukai Takumi is the head of her own Motorcycle Gang, but a chance encounter with a certain person ends up leading her down the path of becoming an Idol.A manga spin off of the IDOLM@STER Cinderella Girls series of games starring the Delinquent turned Idol, Mukai Takumi.",Bandai Namco,Misaki Sako|Action|Comedy|Shounen|Slice of life,2020-04-04 08:34,99300.0
Neung Neung,/mangaimage/manga-lg962989.jpg,Chapter 6,5.0,/manga/manga-lg962989,manga-lg962989,Neung Neung,Original webcomic,Bboonggg,Action|Comedy|Mystery|Psychological|Romance|School life|Shounen|Webtoons,2016-01-20 10:36,99200.0
Demon Express Delivery,/mangaimage/manga-gp983772.jpg,Chapter 1.2: Demon Prince Enma,3.13,/manga/manga-gp983772,manga-gp983772,Demon Express Delivery,"Four grown demons (Enma, Yukihime, Kapaeru, and Grandpa Chapeauji) are part of a Yokai-Patrol searching for demons that have escaped from Hell into the human world. They form the group known as the Enma Detective Agency as a cover for their activities.",Go Nagai,Action|Comedy|Fantasy|Horror|Mystery|School life|Seinen|Smut|Supernatural,2019-12-02 10:26,99200.0
Easygoing Territory Defense By The Optimistic Lord: Production Magic Turns A Nameless Village Into The Strongest Fortified City,/mangaimage/manga-xa1000709.jpg,Chapter 6,3.83,/manga/manga-xa1000709,manga-xa1000709,Easygoing Territory Defense By The Optimistic Lord: Production Magic Turns A Nameless Village Into The Strongest Fortified City,"Van, the fourth son of a powerful noble, is only two years old when he remembers his past life as a salaryman in Japan. With his adult brain in a young body, he's considered a child prodigyuntil he displays the ""Production Magic"" skill when he turns eight. In a family that favors offensive magic, this crafting skill is considered useless in battle, and Van is banished to oversee a tiny country town in disgrace. With only his personal maid, his father's butler, a knight, a rescued slave, the memories of his past life, and his ""worthless"" magic, can Van improve the fortunes of this little villageand himself?",Sou Akaike,Action|Adventure|Comedy|Drama|Fantasy|Harem|Shounen,2024-02-13 12:26,99200.0
Tribal 12,/mangaimage/manga-lf963188.jpg,Vol.2 Chapter 7 : The Master,5.0,/manga/manga-lf963188,manga-lf963188,Tribal 12,"The world changed because one girl lost the one dearest to her. The grief-stricken girl kept searching for a way to bring him back to her, eventually became a scientist, creating a substance that looked to have promising results.That substance was ‘Metaphysic particles’ which could transform mankind’s wildest dreams into reality, wondrous particles that could smash the divide between the spirit and the being.But a grave error occurred in the research before it reached completion, and the Metaphysic particles were spread throughout the world. Incredible occurrences were happening throughout the world.‘Monsters’ which preyed on humans appeared, recognized by the masses to be a consequence of the Metaphysic particles. It appeared to them to be the girl’s fault, and they ostracized her, calling her ‘The Witch’.But from the masses emerged people who could use the Metaphysic particles to do battle with the monsters, Knights of Justice who transformed their beliefs into magical creatures to defeat the monsters. Using the twelve devices ‘Accessories’ that could magnify these beliefs, they became known as ‘12’This is a story of a world where dreams become reality…",Osada Yu-Ko,Action|Adventure|Comedy|Fantasy|Sci fi|Shounen|Supernatural,2016-01-20 10:57,99100.0
That Is Needed For A Villainous Aristocrat,/mangaimage/manga-xj1001044.jpg,Chapter 4.1,4.66,/manga/manga-xj1001044,manga-xj1001044,That Is Needed For A Villainous Aristocrat,"A story of a man with evil charisma: A young man who's lived in modern Japan suddenly realized that he had been reborn in his favourite fantasy novel, ""The Tale of the Rhinana Kingdom"". Yet he wasn’t reborn as the protagonist, but as the famous villain Marquis in the story. With the fate of being overthrown looming above him, he takes all action to break free of his determined fate by using his future knowledge along with the strongest skill ""Absolute Evil"".",Masako Rin,Action|Fantasy|Harem|Shounen,2024-03-18 12:21,98000.0
Ssam Bbak,/mangaimage/manga-ri994891.jpg,Chapter 61,4.11,/manga/manga-ri994891,manga-ri994891,Ssam Bbak,"In Macheon/Incheon, there is an old rumor. Rumor has it that this school is a gangster training ground. Of course, it's still just a rumor.",Neoman,38|Action|School life|Shounen|Manhwa,2023-11-16 18:31,989700.0
Burial Sword Art,/mangaimage/manga-le989139.jpg,Chapter 22,3.75,/manga/manga-le989139,manga-le989139,Burial Sword Art,"Due to the greed and wicked desires of the human heart, a huge evil force is formed. This power was absorbed by the demon king who was originally sealed under the Kunlun Mountains. All kinds of demons gradually awakened from the sealed land. They broke the agreement made after the battle of the fairy and demons six hundred years ago and was a disaster for the world. For this reason, Lu Qingchuan, the young master of Buried Jianmen, went down the mountain to eliminate demons and went to school in a private high school in G City. Started out on a funny and bumpy journey of slaying demons and finding salvation.",You Several Springs,Action|Adventure|Comedy|Drama|Fantasy,2022-10-26 20:33,988900.0
Shoujo Sect,/mangaimage/manga-qv967956.jpg,Vol.2 Chapter 10,4.47,/manga/manga-qv967956,manga-qv967956,Shoujo Sect,"The storyline revolves around Momoko Naitou and the key protagonists Shinobu Handa. They understand each other since childhood and Shinobu fell in-love from the very first day they fulfilled with Momoko. Now registered within an all-girl high-school, days gone by has been forgotten about by Momoko, but Shinobu hasn't. Shinobu still expects for Momoko to recall their assurance from long ago, although both follow their particular manners.CharactersShinobu Handa(Manga Based) Shinobu is among the key characters of the tale. She creating her way on earth or does not have any trouble with cash. She's a bourgeois-only-child. She adores girls no matter age. With reference to sleeping in class, usually being a delinquent arriving late and a failure mark, she's ahead of the curve. Nevertheless, it appears that she was once an ideal pupil right out of some picture. She's in-love with Momoko Naitou the most although Shinobu is involved with a harem with the majority of her schoolmates.Momoko NaitouThe primary character of the show. Momoko is an associate of the disciplinary committee of the school's that's a responsibility that she frequently sets her at odds with Shinobu and takes very significantly. She's quite gluttonous (although she never seems to gain any fat), irritable, and has almost no tolerance for other people's jokes (although she's revealed to really have a mischievous aspect of her own). She's kind to her school mates, nevertheless, which makes her quite popular. Momoko constantly wears a somewhat powerful-smelling cologne which often gives her existence away before she causes it to be understood. Several years prior to the show she first met with Shinobu in a park when they both were quite young. Shinobu and Momoko inturn gave her a biscuit and a kiss, respectively. This meeting left Shinobu for Momoko with heavy feelings of love, although Momoko doesn't recall in any way. After recognizing that Shinobu is really kind and really adores her, Momoko finds it difficult to warm up to Shinobu due to the promiscuity of the latter, but afterwards reciprocates her feelings. She even hits on an upperclassman, who'd pushed herself on Shinobu, which triggered the upperclassman hitting on her head right against a fire-extinguisher leaving her unconscious.",Kurogane Ken,Action|Adventure|Comedy|Cooking|Drama|Romance|School life|Smut|Yuri,2016-01-20 11:18,988900.0
Video Girl Ai,/mangaimage/manga-am956647.jpg,Vol.15 Chapter 131.3 : End,4.59,/manga/manga-am956647,manga-am956647,Video Girl Ai,"Japanese teenager Yota Moteuchi has a problem, he's in love with his classmate Moemi, but can't bring himself to ask her out. Even with the help of his friend and high school heart-throb Takashi, his reputation as the dateless wonder and his lack of courage are a curse that seems impossible to overcome. Now, in the midst of the all-too-short winter vacation from school, Yota sees his chance to win Moemi's heart. Little does he know that his fate waits just around the corner, and the name of the one who will change his life is... Ai.",Katsura Masakazu,Action|Comedy|Cooking|Doujinshi|Drama|Romance|School life|Sci fi|Tragedy,2022-11-23 12:18,988700.0
Choukadou Girl 1/6,/mangaimage/manga-el981368.jpg,Vol.4 Chapter 45: Show Me Your Universe,4.84,/manga/manga-el981368,manga-el981368,Choukadou Girl 1/6,"Bouida Haruto, a hardcore otaku with no interest in 3D (real) women, once appreciated figures from afar, accepting that ""if you get into them, there's no turning back."" However, when Nona, a character he loved from an anime called ""Girls→Planetary Investigation"" had a figure of her released, he ended up purchasing it. And then that night, the figure of Nona somehow came to life, and a couple-like lifestyle between man and toy began.",Oyster,Action|Comedy|Seinen,2019-06-21 00:18,986200.0
The Heavenly Demon Lord Who Doesn't Want To Level Up,/mangaimage/manga-wu999655.jpg,Chapter 37,4.64,/manga/manga-wu999655,manga-wu999655,The Heavenly Demon Lord Who Doesn't Want To Level Up,"""Jin Yuseong, the absolute master of the Middle Kingdom, found life too boring. 'I must be crazy. Just unifying the martial world…'""""'I should have just been a farmer.'""""'No, I wish I wasn't born at all.'""""In 'The Heavenly Demon Lord Who Doesn't Want to Level Up,' one day, he encounters a gate… And upon passing through it, a new world unfolds.""""Jin Yuseong, the top martial deity and leader of the Celestial Demon Cult, arrives in Korea.",Inkhead,Shaynak|Action|Fantasy,2024-03-22 20:11,986100.0
Unparalleled,/mangaimage/manga-ql994294.jpg,Chapter 12,4.04,/manga/manga-ql994294,manga-ql994294,Unparalleled,"Chen Daolin was only trying to enjoy his noodles, but he suddenly found himself in another worldExcited about the dangerous new world, he decided to become its unparalleled heroFollow Chen Daolin's journey as he discovers the secret of the Tulip family's descendant",Changsha Angel Culture Co.,Ltd.|Action|Fantasy|Martial arts|Shounen|Supernatural|Isekai,2023-02-28 00:03,985100.0
Blue Phobia,/mangaimage/manga-zh976516.jpg,Chapter 18: Blue Justice [End],4.66,/manga/manga-zh976516,manga-zh976516,Blue Phobia,Winner of Shinman GP 2017.,Eri Tsuruyoshi,Action|One shot|Seinen,2021-02-08 01:04,984900.0
Togari Shiro,/mangaimage/manga-mo963849.jpg,Chapter 18 [End],4.53,/manga/manga-mo963849,manga-mo963849,Togari Shiro,Togari continues the story of Tobei as he continues to rid of 108 sins to free himself from hell.This is the sequel to Togari,Natsume Yoshinori,Action|Drama|Mature|Shounen|Supernatural,2022-05-07 21:37,984900.0
Onideka,/mangaimage/manga-vz972708.jpg,"Vol.7 Chapter 34: I'm Here, Thanks To Everyone",4.22,/manga/manga-vz972708,manga-vz972708,Onideka,"Kiryuin Hanasei is the idol of her school. But when she suddenly becomes a giantess, she is forced to return to her old ways in order to protect her city.",Yatera Keita,Action|Seinen|Supernatural,2019-02-22 21:40,984600.0
Interpreter Of The Outer Gods,/mangaimage/manga-qk993619.jpg,Chapter 15,4.68,/manga/manga-qk993619,manga-qk993619,Interpreter Of The Outer Gods,"Interpreter of the Outer Gods: Dissatisfied with the power of the strongest god Azathoth, the seven gods joined forces to betray Azathoth.After seizing the right to rule the continent of Shumulias, they worked together to eliminate the existing record of Azathoth.Unwilling to be resigned, the soul of Azathoth drifted to the earth and found Xu San, a man who was oppressed although he had wisdom but no force.Appreciating Xu San's actions and believing that he can help his revenge, Azathoth signed a contract with Xu San, allowing Xu San to become his own interpreter, combining force and wisdom, and launching revenge against the betrayed Seven Gods!",汇聚点漫画,Action|Drama|Fantasy|Shounen|Manhua,2023-03-29 02:30,984200.0
Cyborg 009,/mangaimage/manga-jj951366.jpg,Chapter 114 : Sugar Pyramid,4.7,/manga/manga-jj951366,manga-jj951366,Cyborg 009,"From TokyoPop (based on volume 1):The World at the Brink of Self-AnnihilationThe nuclear age has brought with it the arms race, which has led to the advent of weapons powerful enough to destroy the world itself several times over. Unwilling to take the plunge into Armageddon, the world powers, in league with a group known only as the Black Ghost, have developed super soldiers known as the Cyborgs, designed to fight the wars of the world in space. Unfortunately, the Black Ghost didn't ask the Cyborgs how they felt about their role in the new world order.This classic work from manga legend Shotaro Ishinomori (Masked Rider) not only told a thrilling tale set against a backdrop of Cold War tensions, but it also helped define the genre of super team stories such as Battle of the Planets, Voltron, and The Power Rangers.",Ishinomori Shotaro,Action|Adventure|Comedy|Cooking|Doujinshi|Drama|Fantasy|Gender bender|Harem|Historical|Horror|Josei|Martial arts|Mature|Mecha|Medical|Mystery|One shot|Psychological|Romance|School life|Sci fi|Seinen|Shoujo|Shoujo ai|Shounen|Shounen ai|Slice of life|Smut|Sports|Supernatural|Tragedy|Webtoons|Yaoi|Yuri|Manhwa|Manhua|Isekai|Pornographic|Erotica,2022-05-15 09:22,983400.0
Soloist Of The Prison,/mangaimage/manga-dq980699.jpg,Vol.2 Chapter 10,4.83,/manga/manga-dq980699,manga-dq980699,Soloist Of The Prison,"In a prison so big that it is called a city, all sorts of criminals have been amassed. Due to the inescapable walls, the population only continues to grow. Within are a pair of siblings - a young girl and a recently born boy. What will be their fate in this desolate, cold city...? A story of hope and struggle begins.",Moriya Shiro,Action|Drama|Psychological|Seinen|Tragedy,2019-03-04 11:19,981600.0
Kowashiya Gamon,/mangaimage/manga-pf966488.jpg,Vol.1 Chapter 6 : No More Time,4.64,/manga/manga-pf966488,manga-pf966488,Kowashiya Gamon,"What will be happen if a clumsy high school boy suddenly becomes the head of a company whose job is to demolish anything but with the use of ""martial arts.""Having no choice but to take over his father's company since he went missing, Gamon needs to keep the family business running or else since he now has to support his three younger sisters. What will the future hold for Gamon the Demolition Man?",Fujiki Shun,Action|Comedy|Martial arts|Shounen,2016-01-21 11:53,98900.0
Heroman,/mangaimage/manga-nn965048.jpg,Vol.1 Chapter 3 : New Comer,4.8,/manga/manga-nn965048,manga-nn965048,Heroman,"Joey wants to be a hero, but he's just an orphan who works day and night to take care of himself and his grandmother. After seeing a commercial for a toy robot, he desperately wants one, thinking the robot will give him the strength to change. The only one he manages to get, is a broken toy tossed aside by a school bully. But later on, he manages to fix it, and name it ""Heroman."" Later on, while walking home, he witnesses Rina (the pretty cheerleader that's always been nice to him) getting kidnapped. Joey tried to intervene, but the kidnapper knocks him aside with ease. Filled with Anguish, Joey grabs Heroman and scream that he wants to be able to change. At that moment, Heroman's controller changes, latches to Joey's arm, and Heroman become a large robot that only Joey can command...",Stan Lee & Bones,Action|Doujinshi|Mecha|Sci fi|Shounen,2016-01-20 14:52,98900.0
Traumeister,/mangaimage/manga-ln962622.jpg,Vol.1 Chapter 4 : First Battle,5.0,/manga/manga-ln962622,manga-ln962622,Traumeister,"Hika Souma, called Picasso by friends, is 17 and still without a girlfriend after being dumped 13 times. One day, a pretty girl who later introduces herself as Sujata drags him out from a moving train, and with her unwanted assistance, his childhood trauma toward demons (oni) takes the form of a real demon summoned out from his body.",Nakayama Atsushi,Action|Adventure|Comedy|Fantasy|Shounen,2016-01-20 11:46,98900.0
Starlight Wizards,/mangaimage/manga-ft982802.jpg,Vol.1 Chapter 11,4.71,/manga/manga-ft982802,manga-ft982802,Starlight Wizards,"Starlight Wizards summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Starlight Wizards. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",Ritsu Takagi,Action|Comedy|Fantasy|Shounen|Sports|Supernatural,2019-08-29 13:24,98800.0
Hana No Asukagumi!,/mangaimage/manga-ph966990.jpg,Vol.02 Chapter 2,5.0,/manga/manga-ph966990,manga-ph966990,Hana No Asukagumi!,"The story of Kuraku Asuka, a tough junior high student who gets involved with the gang scene in the Kabuki Chou Ichibangai, a rough area of Tokyo. (from Lililicious)",Takaguchi Satosumi,Action|Drama|Gender bender|School life|Shoujo,2018-04-04 17:02,98800.0
